Precinct,Early Ballots Cast, ,,Election Ballots Cast,,Total Ballots Cast,,Registered Voters,Percent Turnout,Percent Turnout,"REP
Mary Nan Huffman",,"DEM
Kim Ogg",,Totals
966,583,,,129,,712,,"1,448",49.17%,,182,,488,,670
967,105,,,19,,124,,212,58.49%,,30,,85,,115
968,"1,640",,,204,,"1,844",,"2,160",85.37%,,396,,"1,381",,"1,777"
969,390,,,37,,427,,629,67.89%,,17,,390,,407
970,330,,,72,,402,,919,43.74%,,54,,326,,380
971,0,,,0,,0,,0,0.00%,,0,,0,,0
972,0,,,0,,0,,1,0.00%,,0,,0,,0
973,809,,,85,,894,,"1,186",75.38%,,495,,363,,858
974,0,,,0,,0,,0,0.00%,,0,,0,,0
975,135,,,13,,148,,185,80.00%,,62,,79,,141
976,299,,,108,,407,,806,50.50%,,192,,187,,379
977,389,,,81,,470,,841,55.89%,,190,,247,,437
978,0,,,0,,0,,0,0.00%,,0,,0,,0
979,0,,,0,,0,,0,0.00%,,0,,0,,0
980,966,,,165,,"1,131",,"1,405",80.50%,,705,,357,,"1,062"
981,10,,,5,,15,,23,65.22%,,3,,11,,14
982,"4,526",,,535,,"5,061",,"5,918",85.52%,,"3,480",,"1,344",,"4,824"
983,123,,,21,,144,,222,64.86%,,48,,89,,137
984,97,,,24,,121,,261,46.36%,,18,,98,,116
985,230,,,19,,249,,317,78.55%,,109,,127,,236
986,221,,,53,,274,,552,49.64%,,42,,212,,254
Precinct,,Early Ballots Cast,Election Ballots Cast,,Total Ballots Cast,,Registered Voters,,Percent Turnout,"REP
Mary Nan Huffman",,"DEM
Kim Ogg",,Totals,
987,622,,,87,,709,,"1,227",57.78%,,78,,584,,662
988,70,,,15,,85,,118,72.03%,,69,,7,,76
989,0,,,0,,0,,0,0.00%,,0,,0,,0
990,34,,,5,,39,,73,53.42%,,21,,16,,37
991,4,,,0,,4,,4,100.00%,,2,,1,,3
992,605,,,118,,723,,"1,159",62.38%,,314,,371,,685
993,0,,,0,,0,,0,0.00%,,0,,0,,0
994,210,,,10,,220,,233,94.42%,,55,,156,,211
995,"1,258",,,152,,"1,410",,"2,018",69.87%,,177,,"1,161",,"1,338"
996,504,,,46,,550,,750,73.33%,,278,,253,,531
997,737,,,168,,905,,"2,015",44.91%,,118,,742,,860
998,59,,,7,,66,,85,77.65%,,40,,23,,63
999,0,,,0,,0,,0,0.00%,,0,,0,,0
1000,190,,,39,,229,,450,50.89%,,44,,158,,202
1001,823,,,144,,967,,"1,742",55.51%,,254,,646,,900
